candidate_id,robot_name,model,manufacturer,source_database,source_category,source_url,screening_status,exclusion_reason,duplicate_of,screened_date,notes
CAND-0027,Romi Lacatan,,MIXI,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0028,Misty II,,Misty Robotics,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0029,Beni,,Mondo Robotics,ui44,Companions,https://ui44.com/categories/companions,EXCLUDE,사회적 상호작용보다 촬영/팔로우 주행이 핵심 기능,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0030,OlloNi,,OLLOBOT,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0031,T2,,PadBot,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0032,Reachy Mini,,Pollen Robotics,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0033,Prime T1,,PrimeBot,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0034,David,,Realbotix,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0035,KOIBOT ROLA Series,,Reon Robotics,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0036,Rhem,,Rhem Labs,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0037,Fuzozo,,Robopoet,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0038,Flagship Soundwave Auto-Converting Robot,,Robosen Robotics,ui44,Companions,https://ui44.com/categories/companions,EXCLUDE,단순 장난감/엔터테인먼트 성격으로 HRI 연구 적합성 낮음,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0039,Ballie,,Samsung,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0040,Chess Mini,,SenseRobot,ui44,Companions,https://ui44.com/categories/companions,UNCERTAIN,사회적 상호작용 중심 소셜로봇 여부 추가 검토 필요,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0041,Poketomo,,Sharp,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0042,ROVAR X3,,Sentigent Technology,ui44,Companions,https://ui44.com/categories/companions,UNCERTAIN,야외 동행 로봇으로 소셜 상호작용 핵심성 추가 검토 필요,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0043,aibo (ERS-1000),,Sony,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0044,KATA Friends,,SwitchBot,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0045,Jennie,,Tombot,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0046,Sweekar,,Takway AI,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0047,Aura,,Tuya Smart,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0048,Alpha Mini,,UBTECH,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0049,Kangbao (Health Baby),,University of Electronic Science and Technology of China (UESTC),ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0050,Coglet,,Will Cogley,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0051,Yonbo X1,,X-Origin AI,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0052,Mirumi,,Yukai Engineering,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0053,M1,,Zeroth Robotics,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0055,Jibo,,,robotsguide,Social,https://robotsguide.com/robots/category/social,INCLUDE,,,2026-08-11,Phase 0B-RG 1차 스크리닝 (robotsguide)
CAND-0056,Keepon,,,robotsguide,Social,https://robotsguide.com/robots/category/social,INCLUDE,,,2026-08-11,Phase 0B-RG 1차 스크리닝 (robotsguide)
CAND-0058,Mirokaï,,,robotsguide,Social,https://robotsguide.com/robots/category/social,INCLUDE,,,2026-08-11,Phase 0B-RG 1차 스크리닝 (robotsguide)
CAND-0059,Nao,,,robotsguide,Social,https://robotsguide.com/robots/category/social,INCLUDE,,,2026-08-11,Phase 0B-RG 1차 스크리닝 (robotsguide)
CAND-0060,Pepper,,,robotsguide,Social,https://robotsguide.com/robots/category/social,INCLUDE,,,2026-08-11,Phase 0B-RG 1차 스크리닝 (robotsguide)
CAND-0061,Qoobo,,,robotsguide,Social,https://robotsguide.com/robots/category/social,INCLUDE,,,2026-08-11,Phase 0B-RG 1차 스크리닝 (robotsguide)
CAND-0062,Vector,,,robotsguide,Social,https://robotsguide.com/robots/category/social,INCLUDE,,,2026-08-11,Phase 0B-RG 1차 스크리닝 (robotsguide)
