study_id,robot_id,title,authors,year,venue,doi,url,country,institution,study_type,participant_type,condition,age_min,age_max,sample_size,setting,research_purpose,robot_role,interaction_modalities,autonomy_level,session_duration_min,number_of_sessions,individual_or_group,parent_present,clinician_present,outcome_category,result_direction,result_summary_ko,pediatric,clinical,evidence_level,notes
STUDY-0016,ROBOT-0052,Evaluating the Child-Robot Interaction of the NAOTherapist Platform in Pediatric Rehabilitation,Pulido JC et al.,2017,International Journal of Social Robotics,10.1007/s12369-017-0402-2,https://doi.org/10.1007/s12369-017-0402-2,스페인,Hospital Universitario Virgen del Rocio,임상 파일럿,환아,상지 운동장애 소아 재활,5,9,120,재활센터,재활;신체 활동,코치,동작 시연;모방;피드백,부분 자율,,,개별,UNKNOWN,TRUE,재활 참여도,긍정,NAO 기반 재활 플랫폼이 소아 재활 맥락에서 상호작용 수용성과 참여를 보였다고 보고됨,TRUE,TRUE,임상 파일럿,건강 아동 평가 117명과 환아 3명 초기 적용 포함.
STUDY-0017,ROBOT-0053,Improving Diabetes Education and Metabolic Control in Children Using Social Robots: A Randomized Trial,Alhmiedat T et al.,2024,Technologies,10.3390/technologies12110209,https://doi.org/10.3390/technologies12110209,사우디아라비아,University of Tabuk Medical Center,임상 파일럿,환아,제1형 당뇨 소아,5,15,30,외래,교육;행동 변화,교육자,음성;질문응답;교육 상호작용,부분 자율,60,6,개별,TRUE,TRUE,지식 및 대사조절,긍정,Pepper 보조 교육군이 대조군 대비 당뇨 지식과 혈당조절 지표 개선을 보였다고 보고됨,TRUE,TRUE,임상 파일럿,무작위 배정 비교 연구.
STUDY-0018,ROBOT-0052,A Robot Is Not Worth Another: Exploring Children's Mental State Attribution to Different Humanoid Robots,Di Dio C et al.,2020,Frontiers in Psychology,10.3389/fpsyg.2020.02011,https://doi.org/10.3389/fpsyg.2020.02011,이탈리아,University of Milan-Bicocca,실험 연구,건강 아동,아동의 로봇 마음상태 귀인,5,9,,연구실,사회적 기술;평가 및 측정,대화 상대,질문응답;사회인지 과제,확인 불가,,,개별,UNKNOWN,FALSE,사회인지 지표,혼합,아동 연령 및 로봇 형태에 따라 NAO에 대한 마음상태 귀인 수준 차이가 보고됨,TRUE,FALSE,사용자 연구,NAO와 Robovie 비교 실험.
STUDY-0019,ROBOT-0038,Robotic pets in the lives of preschool children,Kahn PH et al.,2004,CHI EA 2004,10.1145/985921.986087,https://doi.org/10.1145/985921.986087,오스트리아,University of Washington,사용자 연구,건강 아동,유아 로봇 반려 상호작용,3,6,80,학교,놀이;사회적 기술,놀이 상대,터치;놀이;질문응답,완전 자율,,,개별,UNKNOWN,FALSE,행동 및 인지,혼합,AIBO와 봉제인형 비교에서 아동의 상호작용 행동 양상 차이가 보고됨,TRUE,FALSE,사용자 연구,동일 주제 저널판(STUDY-0023)과 별도 출판된 학회 확장초록 버전.
STUDY-0020,ROBOT-0049,The JIBO Kids Corpus: A speech dataset of child-robot interactions in a classroom environment,Shankar NB et al.,2024,JASA Express Letters,10.1121/10.0034195,https://doi.org/10.1121/10.0034195,미국,UCLA and MIT,사용자 연구,건강 아동,교실 환경 아동-로봇 음성 상호작용,4,7,110,학교,의사소통;평가 및 측정,대화 상대,음성;질문응답;학습 과제,사전 스크립트,,,개별,UNKNOWN,FALSE,음성 및 언어 데이터,혼합,JIBO를 통한 21시간 아동 음성 상호작용 코퍼스를 구축해 언어발달 및 아동 ASR 연구 기반을 제공함,TRUE,FALSE,사용자 연구,데이터셋 중심 연구로 임상중재 효과 검증 목적은 아님.
STUDY-0021,ROBOT-0001,Animal Assisted Interactions With an Animal Robot During Physical and Occupational Therapy Sessions in the Pediatric ICU: A Feasibility Study,University of Nebraska research team,2022,ClinicalTrials.gov Registry,,https://clinicaltrials.gov/study/NCT05075395,미국,University of Nebraska,임상 파일럿,환아,PICU 입원 중환아 재활,5,18,19,병원,정서 지원;재활,치료 보조,터치;PT/OT 세션 상호작용,임상의 제어,,7,개별,TRUE,TRUE,수용성 및 안전성,혼합,PARO를 활용한 PICU 재활 세션의 실행가능성과 수용성이 보고됨,TRUE,TRUE,임상 파일럿,NCT05075395 등록시험 기반; DOI 논문 미확인.
STUDY-0022,ROBOT-0001,Robot Rehab: Animal Assisted Interactions With a Robotic Baby Harp Seal During Inpatient Pediatric Rehabilitation,University of Nebraska research team,2025,ClinicalTrials.gov Registry,,https://clinicaltrials.gov/study/NCT05275543,미국,University of Nebraska,임상시험,환아,입원 소아 재활,5,18,25,재활센터,재활;정서 지원;신체 활동,치료 보조,PT/OT 과제 기반 상호작용,임상의 제어,30,,개별,TRUE,TRUE,불안/정서/참여,혼합,무작위 병렬 설계로 PARO 활용 소아 입원 재활의 초기 효능과 수용성을 평가한 등록시험,TRUE,TRUE,임상시험,NCT05275543 등록시험 기반; DOI 논문 미확인.
STUDY-0023,ROBOT-0038,Robotic pets in the lives of preschool children,Kahn PH et al.,2006,Interaction Studies,10.1075/is.7.3.13kah,https://doi.org/10.1075/is.7.3.13kah,미국,University of Washington,사용자 연구,건강 아동,유아 로봇-아동 사회행동 비교,3,6,80,학교,놀이;사회적 기술,놀이 상대,터치;놀이;질문응답,완전 자율,,,개별,UNKNOWN,FALSE,행동 및 인지,혼합,AIBO와 봉제인형 조건 간 아동의 사회적 상호작용 및 태도 차이가 확장 분석으로 보고됨,TRUE,FALSE,사용자 연구,STUDY-0019의 후속 저널판(동일 코호트 기반)으로 출판 버전 구분 유지.
STUDY-0024,ROBOT-0049,Escape!Bot: Social Robots as Creative Problem-Solving Partners,Ali S et al.,2022,Creativity and Cognition (C&C '22),10.1145/3527927.3532793,https://doi.org/10.1145/3527927.3532793,이탈리아,MIT Media Lab,실험 연구,건강 아동,창의적 문제해결 게임 과제,5,11,56,연구실,교육;사회적 기술,코치,음성;질문 프롬프트;게임 상호작용,사전 스크립트,,,개별,UNKNOWN,FALSE,창의적 문제해결,혼합,Jibo의 창의성 스캐폴딩은 과제 완료시간 개선에 기여했으나 창의성 지표 전반은 혼합 결과로 보고됨,TRUE,FALSE,사용자 연구,2x2 요인 실험 설계 기반.
STUDY-0025,ROBOT-0052,NAO-Assisted Therapy and Standard therapeutic in Autism Spectrum Disorder,Clinical trial investigators,2025,ClinicalTrials.gov Registry,,https://clinicaltrials.gov/study/NCT06805916,이탈리아,IRCCS Centro Neurolesi Bonino Pulejo,임상시험,자폐 스펙트럼 아동,최소 언어 자폐 아동,4,12,100,외래,의사소통;자폐 스펙트럼 지원,치료 보조,음성;치료세션 상호작용,임상의 제어,45,12,개별,UNKNOWN,TRUE,의사소통 개선,혼합,NAO 보조치료와 표준치료 비교 무작위 등록시험으로 설계/등록됨,TRUE,TRUE,임상시험,NCT06805916 등록시험 기반; 대응 출판물과 연결 가능.
STUDY-0026,ROBOT-0001,Evaluation of Paro in Analgesic Management During Peripheral Intravenous Line Placement in Infants and Children,Clinical trial investigators,2026,ClinicalTrials.gov Registry,,https://clinicaltrials.gov/study/NCT07299006,프랑스,Fondation Lenval,임상시험,환아,정맥천자 관련 절차 통증,1,7,120,병원,통증 및 고통 감소;검사 및 처치 지원,주의 전환,터치;절차 중 비약물 중재,임상의 제어,,1,개별,TRUE,TRUE,절차 통증,혼합,PARO 보조군과 표준진료군 비교 다기관 무작위 개방형 우월성 시험으로 등록됨,TRUE,TRUE,임상시험,NCT07299006 등록시험 기반; 진행 중 연구.
