price_id,robot_id,vendor,vendor_country,vendor_type,offer_type,condition,price_original,currency,price_krw,rental_price,rental_period,academic_discount,availability,shipping_to_korea,source_url,checked_date,notes
PRICE-0027,ROBOT-0005,Ecovacs Official,,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://www.ecovacs.com/us/famibot-ai-companion-robot,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0028,ROBOT-0009,Gogobot Official,중국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://gogobot.io/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0029,ROBOT-0010,GROOVE X Official,,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://lovot.life/en/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0030,ROBOT-0011,Hugbibi Official,,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://hugbibi.com/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0031,ROBOT-0012,InsBotics Official,싱가포르,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://insbotics.com/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0032,ROBOT-0013,Intuition Robotics Official,,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://www.elliq.com/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0033,ROBOT-0014,KEYi Tech Official,,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://keyirobot.com/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0034,ROBOT-0016,Lepro Official,,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://www.prnewswire.com/news-releases/lepro-unveils-lepro-ami-at-ces-2026-a-desktop-ai-companion-that-feels-in-the-room-302652207.html,2026-08-11,Official announcement checked; no retail price published.
PRICE-0035,ROBOT-0017,Ludens AI Official,,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://ludensai.com/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0036,ROBOT-0019,Luvbotics Official,,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://luvbotics.com/homepage/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0037,ROBOT-0020,M5Stack Official,,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://docs.m5stack.com/en/StackChan,2026-08-11,Official docs checked; no complete robot retail MSRP published.
PRICE-0038,ROBOT-0021,MagicLab Official,중국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://support.magiclab.top/en/,2026-08-11,Official documentation page checked; no direct retail pricing listed.
PRICE-0039,ROBOT-0022,Mind With Heart Robotics Official,중국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://web.wxbionics.com/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0040,ROBOT-0023,Mayfield Robotics (Historical),,제조사,가격문의,,,,,,,,판매종료,UNKNOWN,https://www.bosch-presse.de/pressportal/de/media/dam_images/pi9519/kuri_product_1sheet.pdf,2026-08-11,Historical official datasheet source; current retail availability ended.
PRICE-0041,ROBOT-0026,MIXI Official,일본,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://romi.ai/lp/lacatan/en/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0042,ROBOT-0031,PrimeBot Official,중국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://www.primebot.cn/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0043,ROBOT-0032,Realbotix Official,미국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://realbotix.ai/,2026-08-11,Official page checked; pricing appears quote/custom without public fixed MSRP.
PRICE-0044,ROBOT-0036,Samsung Official,한국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://news.samsung.com/us/samsung-ballie-ai-companion-robot-home-video-ces-2024,2026-08-11,Official announcement checked; launch timing noted but public price not posted.
PRICE-0045,ROBOT-0037,Sharp Official,일본,제조사,가격문의,,,,,,,,문의필요,FALSE,https://poketomo.com/en/,2026-08-11,Official pages indicate sales via Sharp COCORO STORE and Japan retail channels; no direct Korea shipping path identified.
PRICE-0046,ROBOT-0043,UBTECH Official,중국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://www.ubtrobot.com/en/consumer/humanoid-robots/alpha-series/alpha-mini,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0047,ROBOT-0044,UESTC Official,중국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://news.uestc.edu.cn/info/1007/39358.htm,2026-08-11,Official university/Xinhua publication checked; research pilot with no consumer price.
PRICE-0048,ROBOT-0045,Will Cogley Project,기타,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://github.com/will-cogley/Coglet,2026-08-11,Official repository checked; no stable direct retail MSRP on repository page.
PRICE-0049,ROBOT-0049,Jibo Official,미국,제조사,가격문의,,,,,,,,판매종료,UNKNOWN,https://www.myjibo.com/,2026-08-11,Official page checked; discontinued status confirmed and no current public MSRP listed.
PRICE-0050,ROBOT-0050,BeatBots Official,미국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://beatbots.net/keepon-pro,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0051,ROBOT-0051,Enchanted Tools Official,프랑스,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://enchanted.tools/,2026-08-11,Official page checked; pricing appears quote/custom without public fixed MSRP.
PRICE-0052,ROBOT-0052,Maxtronics Official,프랑스,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://maxtronics.com/en/nao6/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0053,ROBOT-0053,SoftBank Robotics Official,일본,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://www.softbank.jp/en/robot/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0054,ROBOT-0054,Yukai Engineering Store,일본,제조사,구매,new,173.00,USD,,,,,구매가능,UNKNOWN,https://globalstore.ux-xu.com/products/qoobo,2026-08-11,Official store listing price captured from product page.
PRICE-0055,ROBOT-0055,Anki Official,미국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://anki.bot/pages/meet-vector,2026-08-11,Official page checked; no fixed public MSRP captured.
